Particle Type,Pressure (mbar),f1 Peak Frequency (Hz),f2 Peak Frequency (Hz),f3 Peak Frequency (Hz),f1 Radius (m),f2 Radius (m),f3 Radius (m),f1 Mass (kg),f2 Mass (kg),f3 Mass (kg),f1 Damping,f2 Damping,f3 Damping,f1 A Parameter,f2 A Parameter,f3 A Parameter,f1 Conversion Factor (V m^-1),f2 Conversion Factor (V m^-1),f3 Conversion Factor (V m^-1),f1 Signal,f2 Signal,f3 Signal,Noise Floor,f1 Signal-to-noise Value,f2 Signal-to-noise Value,f3 Signal-to-noise Value
SiNP,3.54,134922.0,211863.0,239476.0,1.45e-07,1.3e-07,1.19e-07,2.28e-17,1.65e-17,1.26e-17,3700.0,4120.0,4510.0,53700000000.0,34100000000.0,5650000000.0,200000.0,129000.0,44000.0,5.498862e-09,8.0504253e-10,2.0202479e-10,2.514141e-13,21871.732,3202.058,803.55396
SiNP,3.54,139785.0,213320.0,239286.0,1.4199999999999997e-07,1.28e-07,6.000000000000001e-08,2.1800000000000004e-17,1.5900000000000003e-17,1.63e-18,3750.0,4170.0,8920.0,353000000000.0,141400000000.0,6490000000.0,500000.0,254999.99999999997,11900.0,2.8388557e-08,2.7631009e-09,7.373276e-11,3.3283787e-13,85292.45,8301.642,221.52757
SiNP,3.58,139738.0,191300.0,226740.0,1.09e-07,2.89e-08,1.99e-08,9.7e-18,1.82e-19,5.9e-20,4980.0,18700.0,27200.000000000004,137200000000.00002,1870000000.0,2200000000.0,179000.0,1480.0,760.0,2.9657659e-09,3.955848e-12,2.0255809e-12,2.5814176e-13,11488.903,15.324324,7.846777
SiNP,3.56,135483.0,202928.0,225030.00000000003,1.79e-07,1.59e-07,5.03e-08,4.3e-17,3.0400000000000005e-17,9.599999999999999e-19,3000.0,3380.0,10700.0,272000000000.00003,112999999999.99998,3530000000.0,690000.0,350000.0,6200.0,3.3891148e-08,4.1390495e-09,2.5887055e-11,3.991096e-13,84916.9,10370.709,64.86202
SiNP,3.53,136054.0,209189.0,234708.0,1.38e-07,1.48e-07,8.720000000000001e-08,1.9800000000000002e-17,2.4300000000000005e-17,5e-18,3870.0,3610.0,6110.0,121200000000.0,48900000000.0,3070000000.0,274000.0,199000.0,17400.0,5.8653473e-09,2.2477562e-09,3.4671873e-11,2.71074e-13,21637.441,8292.039,127.90557
SiNP,3.49,130264.0,199700.0,220940.0,9.26e-08,9.039999999999999e-08,4.71e-08,6.0000000000000004e-18,5.6e-18,7.9e-19,5690.0,5830.0,11200.000000000002,233000000000.0,119200000000.0,7410000000.0,172000.0,117000.0,7900.0,1.3217399e-08,1.122204e-09,4.0779713e-11,3.308789e-13,39946.332,3391.5852,123.246635
SiNP,3.66,127120.0,195566.0,215113.0,9.26e-08,9.970000000000001e-08,6.320000000000001e-08,6.0000000000000004e-18,7.5e-18,1.9100000000000002e-18,5970.0,5540.0,8740.0,164500000000.0,90600000000.0,9010000000.0,141000.0,121000.0,15400.0,4.691804e-09,1.5109172e-09,4.5504593e-11,3.0293956e-13,15487.591,4987.52,150.21014
SiNP,3.5,137230.0,203313.0,224191.0,1.99e-07,1.7699999999999998e-07,1.1799999999999998e-07,5.900000000000001e-17,4.2000000000000005e-17,1.2300000000000001e-17,2660.0,2980.0,4490.0,20240000000.0,31100000000.0,1570000000.0,234000.0,229999.99999999997,22799.999999999996,5.1236664e-09,2.099648e-09,3.8080372e-11,2.7426396e-13,18681.516,7655.574,138.8457
SiNP,3.54,135747.0,199615.0,219331.0,1.85e-07,1.9499999999999999e-07,1.1699999999999999e-07,4.8000000000000003e-17,5.6e-17,1.19e-17,2890.0,2740.0,4590.0,25800000000.0,33500000000.0,2710000000.0,227000.0,290000.0,29000.0,2.4895221e-09,3.09372e-09,8.2490896e-11,2.7655173e-13,9002.013,11186.768,298.28378
SiNP,3.55,136003.0,199886.0,220325.0,1.8999999999999998e-07,2.0299999999999998e-07,1e-07,5.1e-17,6.3e-17,7.6e-18,2830.0,2640.0,5350.0,23280000000.0,27500000000.0,1930000000.0,225999.99999999997,280000.0,18200.0,5.018661e-09,1.5938582e-09,2.002829e-11,2.5270346e-13,19859.883,6307.2275,79.256096
